6.31058, -0.38671, 0.01841, 5.47960, -0.46091, -0.00473, 5.96267, -0.64739, 0.02168, 5.82284, -0.52818, 0.00235, 6.18060, -0.42593, 0.50526, 5.62286, -0.38129, 0.54709, 6.11468, -0.62552, 0.50768, 5.61672, -0.57964, 0.55974, 5.72539, -0.48383, 0.55180, 6.03418, -0.49824, 0.52036
6.31251, -0.38665, 0.01716, 5.47947, -0.46111, -0.00258, 5.96450, -0.64716, 0.02583, 5.85780, -0.52447, 0.00298, 6.19374, -0.41421, 0.50445, 5.63867, -0.37939, 0.54610, 6.13488, -0.61705, 0.50624, 5.63505, -0.57757, 0.56194, 5.74249, -0.48053, 0.55249, 6.05134, -0.49152, 0.51993
6.31364, -0.38721, 0.01650, 5.47937, -0.46142, -0.00031, 5.96997, -0.64880, 0.03051, 5.88273, -0.52124, 0.00297, 6.20612, -0.40242, 0.50403, 5.65419, -0.37760, 0.54438, 6.15527, -0.60849, 0.50501, 5.65315, -0.57554, 0.56325, 5.75932, -0.47722, 0.55275, 6.06828, -0.48492, 0.51983
6.31418, -0.38773, 0.01583, 5.47946, -0.46181, 0.00209, 5.97812, -0.65000, 0.03581, 5.90040, -0.52025, 0.00153, 6.21756, -0.39102, 0.50402, 5.66903, -0.37617, 0.54220, 6.17605, -0.60007, 0.50456, 5.67077, -0.57387, 0.56347, 5.77556, -0.47413, 0.55249, 6.08468, -0.47865, 0.52001
6.31429, -0.38783, 0.01563, 5.47996, -0.46214, 0.00456, 5.98928, -0.64814, 0.04171, 5.91286, -0.51937, -0.00196, 6.22806, -0.38052, 0.50452, 5.68311, -0.37541, 0.53977, 6.19717, -0.59194, 0.50558, 5.68755, -0.57294, 0.56218, 5.79096, -0.47173, 0.55157, 6.10036, -0.47306, 0.52054
6.31447, -0.38756, 0.01597, 5.48083, -0.46205, 0.00712, 6.00381, -0.64230, 0.04883, 5.91992, -0.51680, -0.00630, 6.23759, -0.37108, 0.50562, 5.69643, -0.37537, 0.53773, 6.21842, -0.58409, 0.50816, 5.70371, -0.57287, 0.55960, 5.80564, -0.47006, 0.55023, 6.11536, -0.46831, 0.52153
6.31466, -0.38717, 0.01672, 5.48250, -0.46159, 0.00961, 6.02237, -0.63409, 0.05848, 5.92214, -0.51369, -0.01083, 6.24661, -0.36244, 0.50732, 5.70889, -0.37620, 0.53663, 6.23898, -0.57600, 0.51135, 5.71945, -0.57369, 0.55719, 5.81965, -0.46910, 0.54889, 6.12968, -0.46411, 0.52297
6.31449, -0.38677, 0.01786, 5.48393, -0.46060, 0.01293, 6.04783, -0.62431, 0.07232, 5.92219, -0.51144, -0.01492, 6.25504, -0.35430, 0.50973, 5.72075, -0.37795, 0.53617, 6.25804, -0.56784, 0.51396, 5.73439, -0.57535, 0.55578, 5.83294, -0.46916, 0.54815, 6.14321, -0.46037, 0.52504
6.31410, -0.38634, 0.01919, 5.48542, -0.45968, 0.01701, 6.08121, -0.61527, 0.08509, 5.92384, -0.51022, -0.01679, 6.26295, -0.34656, 0.51237, 5.73249, -0.37943, 0.53648, 6.27565, -0.55978, 0.51603, 5.74821, -0.57677, 0.55519, 5.84564, -0.46950, 0.54814, 6.15604, -0.45683, 0.52740
6.31360, -0.38597, 0.02062, 5.48835, -0.45918, 0.02132, 6.11890, -0.60460, 0.09373, 5.92486, -0.50995, -0.01767, 6.26989, -0.33896, 0.51503, 5.74448, -0.37936, 0.53733, 6.29291, -0.55114, 0.51876, 5.76035, -0.57671, 0.55581, 5.85770, -0.46936, 0.54883, 6.16814, -0.45327, 0.52970
6.31315, -0.38558, 0.02192, 5.49382, -0.45902, 0.02553, 6.15756, -0.59167, 0.09905, 5.92491, -0.51027, -0.01797, 6.27611, -0.33180, 0.51732, 5.75681, -0.37773, 0.53883, 6.30949, -0.54231, 0.52178, 5.77105, -0.57515, 0.55785, 5.86929, -0.46868, 0.55000, 6.17967, -0.44973, 0.53168
6.31280, -0.38526, 0.02303, 5.50285, -0.45931, 0.02910, 6.19609, -0.57595, 0.10205, 5.92433, -0.51078, -0.01787, 6.28144, -0.32484, 0.51909, 5.76960, -0.37426, 0.54053, 6.32516, -0.53325, 0.52464, 5.78026, -0.57178, 0.56081, 5.88043, -0.46722, 0.55169, 6.19064, -0.44603, 0.53349
6.31261, -0.38503, 0.02398, 5.51721, -0.45942, 0.03082, 6.23637, -0.55929, 0.10319, 5.92362, -0.51122, -0.01758, 6.28623, -0.31811, 0.52040, 5.78294, -0.36947, 0.54122, 6.33941, -0.52417, 0.52744, 5.78802, -0.56696, 0.56383, 5.89110, -0.46537, 0.55361, 6.20102, -0.44223, 0.53509
6.31262, -0.38506, 0.02478, 5.53737, -0.45905, 0.03098, 6.27675, -0.54173, 0.10200, 5.92286, -0.51163, -0.01718, 6.29080, -0.31167, 0.52126, 5.79583, -0.36481, 0.54134, 6.35193, -0.51547, 0.52983, 5.79515, -0.56199, 0.56701, 5.90114, -0.46355, 0.55585, 6.21066, -0.43831, 0.53675
6.31271, -0.38516, 0.02550, 5.56256, -0.45766, 0.03089, 6.31479, -0.52152, 0.09916, 5.92191, -0.51203, -0.01674, 6.29502, -0.30538, 0.52181, 5.80780, -0.36043, 0.54120, 6.36301, -0.50719, 0.53144, 5.80204, -0.55710, 0.57000, 5.91052, -0.46151, 0.55797, 6.21960, -0.43415, 0.53834
